rock_hardness,drill_bit_age_hours,mud_pressure_psi,depth_m,drilling_rate_m_per_hr
8,162,2658.7,1265.5,15.29
10,47,2051.9,2573.6,17.36
10,118,1727.4,1219.8,11.08
1,69,2384.2,455.3,8.25
5,131,2701.1,2880.2,12.62
10,31,956.0,2178.3,16.28
6,95,2361.6,1965.3,11.41
6,84,2676.1,120.4,10.07
8,49,2616.7,1918.3,18.9
3,102,1295.0,1919.8,9.24
10,134,751.1,2385.5,12.8
4,78,1835.5,2710.2,12.64
1,141,896.1,2620.3,6.57
3,147,1850.7,587.3,4.87
5,186,2805.1,1730.9,6.58
8,86,2683.2,1877.6,14.04
7,120,2874.7,1744.6,15.51
5,68,1436.6,2984.4,14.22
5,39,1945.1,2402.9,12.89
2,78,2570.5,2616.1,12.74
2,118,2006.8,2128.1,9.03
9,93,2170.2,1234.4,13.57
7,56,936.1,1175.1,9.41
2,141,1446.0,2848.6,8.2
4,45,2581.5,1475.3,11.79
